,uid,time,tasks
558,netmark-experiment-size-90,55.923,90
559,netmark-experiment-size-90,54.236,90
560,netmark-experiment-size-90,64.241,90
561,netmark-experiment-size-90,54.368,90
562,netmark-experiment-size-90,51.7,90
563,netmark-experiment-size-90,54.758,90
564,netmark-experiment-size-90,57.468,90
565,netmark-experiment-size-90,49.926,90
566,netmark-experiment-size-90,62.877,90
567,netmark-experiment-size-90,59.894,90
568,netmark-experiment-size-90,67.376,90
569,netmark-experiment-size-90,50.367,90
570,netmark-experiment-size-90,54.011,90
571,netmark-experiment-size-90,67.891,90
572,netmark-experiment-size-90,59.542,90
573,netmark-experiment-size-90,66.413,90
574,netmark-experiment-size-90,61.156,90
575,netmark-experiment-size-90,48.141,90
576,netmark-experiment-size-90,60.526,90
577,netmark-experiment-size-90,61.602,90
578,netmark-experiment-size-90,55.188,90
579,netmark-experiment-size-90,47.064,90
580,netmark-experiment-size-90,62.422,90
581,netmark-experiment-size-90,66.492,90
582,netmark-experiment-size-90,62.168,90
583,netmark-experiment-size-90,63.886,90
584,netmark-experiment-size-90,61.519,90
585,netmark-experiment-size-90,57.88,90
586,netmark-experiment-size-90,62.754,90
587,netmark-experiment-size-90,57.836,90
588,netmark-experiment-size-90,76.73,90
589,netmark-experiment-size-90,64.503,90
590,netmark-experiment-size-90,56.231,90
591,netmark-experiment-size-90,66.642,90
592,netmark-experiment-size-90,58.438,90
593,netmark-experiment-size-90,68.656,90
594,netmark-experiment-size-90,65.313,90
595,netmark-experiment-size-90,48.926,90
596,netmark-experiment-size-90,59.339,90
597,netmark-experiment-size-90,67.466,90
598,netmark-experiment-size-90,54.392,90
599,netmark-experiment-size-90,57.288,90
600,netmark-experiment-size-90,60.323,90
601,netmark-experiment-size-90,62.362,90
602,netmark-experiment-size-90,55.427,90
603,netmark-experiment-size-90,67.179,90
604,netmark-experiment-size-90,60.193,90
605,netmark-experiment-size-90,57.045,90
606,netmark-experiment-size-90,52.799,90
607,netmark-experiment-size-90,55.112,90
608,netmark-experiment-size-90,47.896,90
609,netmark-experiment-size-90,59.526,90
610,netmark-experiment-size-90,58.603,90
611,netmark-experiment-size-90,55.164,90
612,netmark-experiment-size-90,55.79,90
613,netmark-experiment-size-90,59.354,90
614,netmark-experiment-size-90,55.534,90
615,netmark-experiment-size-90,63.43,90
616,netmark-experiment-size-90,70.044,90
617,netmark-experiment-size-90,52.466,90
618,netmark-experiment-size-90,69.661,90
619,netmark-experiment-size-90,63.186,90
620,netmark-experiment-size-90,67.661,90
621,netmark-experiment-size-90,57.294,90
622,netmark-experiment-size-90,60.467,90
623,netmark-experiment-size-90,61.436,90
624,netmark-experiment-size-90,63.041,90
625,netmark-experiment-size-90,69.474,90
626,netmark-experiment-size-90,69.74,90
627,netmark-experiment-size-90,63.77,90
628,netmark-experiment-size-90,56.685,90
629,netmark-experiment-size-90,59.01,90
630,netmark-experiment-size-90,63.056,90
631,netmark-experiment-size-90,65.808,90
632,netmark-experiment-size-90,59.641,90
633,netmark-experiment-size-90,73.9,90
634,netmark-experiment-size-90,61.305,90
635,netmark-experiment-size-90,57.183,90
636,netmark-experiment-size-90,72.926,90
637,netmark-experiment-size-90,64.721,90
638,netmark-experiment-size-90,65.348,90
639,netmark-experiment-size-90,61.104,90
640,netmark-experiment-size-90,73.405,90
641,netmark-experiment-size-90,65.059,90
642,netmark-experiment-size-90,58.107,90
643,netmark-experiment-size-90,70.109,90
644,netmark-experiment-size-90,59.326,90
645,netmark-experiment-size-90,47.754,90
646,netmark-experiment-size-90,54.992,90
647,netmark-experiment-size-90,54.508,90
648,netmark-experiment-size-90,62.404,90
649,netmark-experiment-size-90,60.942,90
650,netmark-experiment-size-90,63.502,90
651,netmark-experiment-size-90,58.394,90
652,netmark-experiment-size-90,68.746,90
653,netmark-experiment-size-90,56.58,90
654,netmark-experiment-size-90,66.972,90
655,netmark-experiment-size-90,65.746,90
656,netmark-experiment-size-90,64.642,90
657,netmark-experiment-size-90,71.055,90
658,netmark-experiment-size-90,68.426,90
659,netmark-experiment-size-90,68.168,90
660,netmark-experiment-size-90,61.254,90
661,netmark-experiment-size-90,62.259,90
662,netmark-experiment-size-90,62.904,90
663,netmark-experiment-size-90,50.7,90
664,netmark-experiment-size-90,56.111,90
665,netmark-experiment-size-90,68.527,90
666,netmark-experiment-size-90,60.247,90
667,netmark-experiment-size-90,66.31,90
668,netmark-experiment-size-90,66.224,90
669,netmark-experiment-size-90,67.628,90
670,netmark-experiment-size-90,72.239,90
671,netmark-experiment-size-90,59.7,90
672,netmark-experiment-size-90,69.072,90
673,netmark-experiment-size-90,52.388,90
674,netmark-experiment-size-90,62.155,90
675,netmark-experiment-size-90,49.701,90
676,netmark-experiment-size-90,70.93,90
677,netmark-experiment-size-90,63.886,90
678,netmark-experiment-size-90,68.26,90
679,netmark-experiment-size-90,66.186,90
680,netmark-experiment-size-90,65.162,90
681,netmark-experiment-size-90,58.779,90
682,netmark-experiment-size-90,64.149,90
683,netmark-experiment-size-90,65.42,90
684,netmark-experiment-size-90,63.225,90
685,netmark-experiment-size-90,69.581,90
686,netmark-experiment-size-90,65.199,90
687,netmark-experiment-size-90,55.144,90
688,netmark-experiment-size-90,68.599,90
689,netmark-experiment-size-90,55.079,90
690,netmark-experiment-size-90,69.415,90
691,netmark-experiment-size-90,55.918,90
692,netmark-experiment-size-90,59.141,90
693,netmark-experiment-size-90,50.106,90
694,netmark-experiment-size-90,63.552,90
695,netmark-experiment-size-90,72.299,90
696,netmark-experiment-size-90,69.936,90
