,minicluster_size,name,fluxsubmit_time,fluxstart_time,lammps_time,ranks,timesteps_per_second,operator_name
lmp-mpi-operator-32-17,32,mpi-operator-32,37.78,49.357304,28.0,3008,3.701,mpi-operator
lmp-mpi-operator-16-14,16,mpi-operator-16,54.33,63.352416,47.0,1504,2.198,mpi-operator
lmp-mpi-operator-64-16,64,mpi-operator-64,29.01,47.322551,19.0,6016,5.357,mpi-operator
lmp-mpi-operator-16-15,16,mpi-operator-16,51.76,59.473444,44.0,1504,2.329,mpi-operator
lmp-mpi-operator-16-16,16,mpi-operator-16,51.94,59.49436,44.0,1504,2.33,mpi-operator
lmp-mpi-operator-32-18,32,mpi-operator-32,35.82,47.236221,28.0,3008,3.728,mpi-operator
lmp-mpi-operator-8-16,8,mpi-operator-8,84.19,90.348502,76.0,752,1.337,mpi-operator
lmp-mpi-operator-16-17,16,mpi-operator-16,52.52,60.838857,45.0,1504,2.295,mpi-operator
lmp-mpi-operator-32-19,32,mpi-operator-32,36.97,48.283741,28.0,3008,3.732,mpi-operator
lmp-mpi-operator-8-17,8,mpi-operator-8,84.53,90.692727,77.0,752,1.334,mpi-operator
lmp-mpi-operator-64-17,64,mpi-operator-64,30.94,50.236581,20.0,6016,5.274,mpi-operator
lmp-mpi-operator-8-18,8,mpi-operator-8,83.74,90.957937,76.0,752,1.345,mpi-operator
lmp-mpi-operator-64-18,64,mpi-operator-64,29.0,47.264944,20.0,6016,5.226,mpi-operator
lmp-mpi-operator-16-18,16,mpi-operator-16,56.18,64.787156,44.0,1504,2.313,mpi-operator
lmp-mpi-operator-8-19,8,mpi-operator-8,91.55,98.97159,83.0,752,1.234,mpi-operator
lmp-mpi-operator-16-19,16,mpi-operator-16,53.04,61.616224,45.0,1504,2.273,mpi-operator
lmp-mpi-operator-64-19,64,mpi-operator-64,30.35,49.296309,20.0,6016,5.205,mpi-operator
lmp-mpi-operator-16-20,16,mpi-operator-16,52.77,60.593864,45.0,1504,2.312,mpi-operator
lmp-mpi-operator-8-20,8,mpi-operator-8,83.75,90.927743,76.0,752,1.341,mpi-operator
lmp-mpi-operator-64-20,64,mpi-operator-64,30.46,49.17746,20.0,6016,5.248,mpi-operator
lmp-mpi-operator-32-20,32,mpi-operator-32,39.21,50.728547,28.0,3008,3.733,mpi-operator
