,minicluster_size,mpitype,runtime,analysis,ranks
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-8,5,ompi,1.4026374816894531,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-2,5,ompi,1.3836066722869873,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-16,5,ompi,1.3804223537445068,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-18,5,ompi,1.3955585956573486,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-3,5,ompi,1.3845078945159912,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-11,5,ompi,1.3781864643096924,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-7,5,ompi,1.383573055267334,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-4,5,ompi,1.3789777755737305,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-14,5,ompi,1.3885064125061035,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-12,5,ompi,1.402728796005249,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-10,5,ompi,1.3762059211730957,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-9,5,ompi,1.383148193359375,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-12,5,ompi,1.3932220935821533,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-2,5,ompi,1.368638277053833,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-4,5,ompi,1.381235122680664,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-0,5,ompi,1.3762054443359375,hello_cxx-noaff,280
